  1953 / 93 =         5073 / 89 =         2291 / 29 =         4284 / 84 =       
  2093 / 91 =         1230 / 15 =         1534 / 59 =         1776 / 48 =       

  5106 / 69 =          504 / 36 =         1343 / 17 =         3864 / 46 =       

  2350 / 50 =         1092 / 39 =         6930 / 77 =         1445 / 17 =       

  4028 / 76 =         4140 / 45 =         6660 / 74 =         1750 / 25 =       

  2232 / 62 =         1647 / 61 =         1131 / 29 =          720 / 48 =       

  3120 / 78 =         2263 / 73 =         5670 / 81 =          684 / 36 =       

  6090 / 87 =         4150 / 50 =         5229 / 63 =         2146 / 74 =       

   378 / 18 =         3822 / 78 =          738 / 41 =         1914 / 87 =       

  8930 / 94 =         9212 / 94 =         1426 / 62 =         1452 / 66 =       

  3306 / 58 =          756 / 36 =         1188 / 44 =          754 / 26 =       

  7654 / 86 =         2160 / 48 =         3168 / 72 =          299 / 23 =       

   720 / 36 =         3127 / 59 =         2720 / 34 =         1826 / 22 =       

  4056 / 52 =         2668 / 29 =          660 / 12 =         6399 / 81 =       

  2016 / 32 =         2254 / 23 =         3040 / 38 =         1342 / 61 =       

  2716 / 28 =          960 / 24 =         1890 / 35 =          780 / 52 =       

  1584 / 24 =         5460 / 84 =         4712 / 76 =         3128 / 34 =       

  2883 / 31 =         4158 / 63 =         1134 / 18 =         1672 / 44 =       

  3441 / 37 =         1392 / 24 =         3519 / 51 =         4959 / 87 =       

  4717 / 53 =         3895 / 95 =          588 / 12 =          714 / 51 =       

  4235 / 77 =         1176 / 42 =         2738 / 37 =         5928 / 78 =       

  1862 / 38 =          414 / 23 =         2134 / 22 =          574 / 14 =       

  8134 / 83 =         3520 / 55 =         1530 / 17 =         5525 / 65 =       

  3485 / 85 =         1254 / 57 =         3472 / 62 =         3015 / 67 =       

  1475 / 25 =          952 / 14 =         2046 / 31 =         2622 / 69 =       

  2668 / 46 =         2665 / 65 =         4720 / 59 =         1248 / 48 =       

  4148 / 61 =         4416 / 48 =         4216 / 62 =         4331 / 71 =       

  1785 / 51 =         1960 / 40 =         8820 / 98 =         4422 / 67 =       

  3880 / 40 =          940 / 10 =         1739 / 47 =         2040 / 24 =       

  1188 / 33 =         1892 / 22 =         2375 / 25 =         3724 / 49 =       

  1536 / 48 =         3162 / 34 =          784 / 16 =         2385 / 53 =       

   550 / 22 =         2992 / 88 =         1936 / 44 =          345 / 15 =       

  1386 / 33 =         5472 / 57 =         1484 / 28 =         1008 / 36 =       

   646 / 34 =         1188 / 54 =         3456 / 64 =         1050 / 25 =       

  2294 / 74 =         1242 / 69 =         3431 / 73 =         1596 / 76 =       

  1800 / 20 =         1462 / 34 =         2350 / 94 =         6552 / 91 =       

   888 / 74 =         2880 / 30 =         2310 / 35 =         1470 / 70 =       

  3104 / 97 =         1870 / 34 =         4472 / 86 =         7140 / 84 =       

   804 / 12 =         7663 / 79 =         7968 / 83 =          528 / 12 =       

   360 / 12 =         2464 / 56 =         7480 / 85 =         7120 / 89 =       

  2604 / 28 =         3135 / 95 =         2880 / 72 =         1311 / 69 =       

  3128 / 92 =         7392 / 77 =         4824 / 72 =         1003 / 59 =       

  1328 / 83 =         4526 / 73 =         8277 / 89 =         2619 / 27 =       

  2726 / 47 =          564 / 47 =         2349 / 87 =         3068 / 52 =       

  4731 / 83 =          756 / 36 =         2624 / 64 =         2880 / 72 =       

  6480 / 80 =         1235 / 95 =         4672 / 73 =         6816 / 71 =       

  3619 / 77 =          915 / 15 =         3906 / 93 =         2295 / 27 =       

  6525 / 87 =         2592 / 54 =         2856 / 68 =         3588 / 78 =       

   345 / 15 =         1650 / 55 =         1736 / 28 =          770 / 55 =       

  4680 / 65 =         5859 / 93 =         1032 / 24 =         2924 / 43 =       

  3400 / 40 =          130 / 10 =         1085 / 35 =          924 / 28 =       

   784 / 56 =         1738 / 79 =         5046 / 87 =         2133 / 27 =       

  4558 / 53 =         1078 / 22 =         5544 / 72 =         3168 / 88 =       

   891 / 11 =         5893 / 83 =          864 / 27 =         1898 / 26 =       

  4154 / 67 =          338 / 13 =          570 / 30 =         3350 / 50 =       

   812 / 14 =         1316 / 94 =         1295 / 37 =         1330 / 70 =       

  1144 / 26 =         4128 / 86 =         3807 / 81 =         3432 / 88 =       

  1976 / 26 =         6956 / 74 =          714 / 14 =         2967 / 69 =       

  6552 / 84 =         3332 / 34 =          836 / 38 =         3792 / 48 =       

   525 / 21 =         5850 / 75 =         2848 / 89 =         1880 / 20 =       

  1488 / 62 =         1075 / 43 =         2574 / 66 =         4116 / 98 =       

  7744 / 88 =         3854 / 41 =          840 / 84 =          658 / 14 =       

   588 / 12 =          348 / 12 =         7663 / 79 =         7728 / 92 =       

  2200 / 50 =         1560 / 52 =         4680 / 78 =         6384 / 76 =       

  1025 / 41 =         2001 / 87 =          912 / 57 =         4897 / 59 =       

   530 / 10 =         4214 / 49 =          418 / 22 =          986 / 17 =       

  4875 / 65 =         3984 / 48 =         3731 / 91 =         1128 / 12 =       

  1656 / 36 =         4400 / 88 =         1083 / 19 =         1976 / 52 =       

  5723 / 59 =         6232 / 76 =         1122 / 66 =         2744 / 56 =       

  3078 / 38 =         5166 / 63 =         1984 / 32 =         1105 / 13 =       

   846 / 47 =         1064 / 14 =         4704 / 98 =          540 / 54 =       

  3604 / 53 =         2196 / 61 =         1829 / 59 =         2139 / 23 =       

  2788 / 41 =         5670 / 81 =         4745 / 65 =         5920 / 74 =       

  3286 / 62 =         2720 / 40 =         1560 / 60 =          704 / 22 =       

  4275 / 57 =         4628 / 89 =         7308 / 87 =         1824 / 24 =       

  3526 / 86 =         2133 / 79 =          299 / 23 =         1887 / 37 =       

  2387 / 31 =         2142 / 63 =         1056 / 22 =         2856 / 68 =       

  1628 / 22 =         4032 / 42 =         1887 / 51 =         3420 / 76 =       

  1197 / 57 =         2666 / 62 =          782 / 23 =         2160 / 48 =       

   430 / 10 =          814 / 11 =         7614 / 94 =         2499 / 51 =       

  2300 / 50 =         3200 / 40 =         1425 / 75 =         1040 / 13 =       

  2250 / 45 =         2470 / 26 =          390 / 10 =         5451 / 69 =       

   790 / 10 =         2655 / 45 =         1748 / 23 =         4092 / 93 =       

  1275 / 75 =         4560 / 57 =         6141 / 69 =         4588 / 62 =       

   492 / 12 =         3591 / 57 =         1978 / 43 =         1518 / 66 =       

  3723 / 51 =         2340 / 36 =         1944 / 36 =         5325 / 71 =       

  2960 / 37 =         7566 / 97 =         7921 / 89 =         2813 / 29 =       

  2400 / 48 =         3950 / 50 =         2394 / 38 =         4292 / 58 =       

   833 / 17 =          592 / 16 =         6305 / 97 =         2300 / 25 =       

  1518 / 46 =         7178 / 74 =         1121 / 59 =          988 / 38 =       

  5828 / 94 =         2021 / 43 =         1290 / 30 =         1020 / 60 =       

  2419 / 59 =         1287 / 39 =         2793 / 49 =          969 / 57 =       

   700 / 10 =         1452 / 44 =         3844 / 62 =         1035 / 15 =       

  7200 / 96 =         1377 / 81 =         2176 / 64 =         5658 / 82 =       

   890 / 89 =         1224 / 72 =          990 / 18 =         4611 / 87 =       

  4590 / 54 =         3498 / 53 =         2552 / 44 =         2916 / 36 =       

  1144 / 26 =         5429 / 89 =         1593 / 27 =         3104 / 97 =       

  2924 / 34 =         4524 / 52 =         4182 / 51 =         2050 / 25 =       

   323 / 17 =         2212 / 79 =         1665 / 37 =         1150 / 25 =       

  2080 / 26 =         1044 / 87 =          572 / 44 =         2970 / 55 =       

  1242 / 18 =         3150 / 45 =         4464 / 72 =         6461 / 91 =       

  6916 / 76 =         3773 / 77 =         2480 / 31 =         3515 / 95 =       

   899 / 29 =         1426 / 23 =         2028 / 52 =         2790 / 90 =       

  8827 / 97 =         4505 / 53 =         8455 / 95 =         3432 / 52 =       

  1104 / 16 =          663 / 13 =          336 / 14 =          616 / 56 =       

  5046 / 58 =         5488 / 56 =          320 / 32 =         1891 / 31 =       

  3234 / 49 =         1680 / 84 =          400 / 20 =         3654 / 42 =       

  1508 / 29 =         7488 / 78 =         2376 / 36 =         2680 / 40 =       

  2368 / 64 =         1368 / 72 =          696 / 29 =         2485 / 35 =       

  5355 / 85 =         2385 / 53 =         2769 / 71 =         1575 / 45 =       

  1679 / 73 =         3268 / 86 =         2068 / 94 =         6399 / 81 =       

  3740 / 55 =         1121 / 19 =         1430 / 22 =         1664 / 32 =       

   470 / 47 =          800 / 40 =          561 / 33 =         3082 / 67 =       

  2345 / 67 =         1869 / 89 =         3920 / 49 =         6750 / 90 =       

  1170 / 39 =         2068 / 44 =          100 / 10 =         2888 / 76 =       

   264 / 11 =          234 / 18 =         1513 / 17 =         3784 / 43 =       

  9216 / 96 =          520 / 13 =         7298 / 89 =         7482 / 86 =       

  5175 / 69 =          465 / 15 =         2496 / 48 =         2001 / 29 =       

  6080 / 80 =         1296 / 27 =         4814 / 58 =          630 / 45 =       

  6408 / 72 =         1900 / 76 =          902 / 82 =         2886 / 37 =       

  4675 / 55 =         2040 / 24 =         1680 / 20 =          520 / 52 =       

  3520 / 80 =         1272 / 53 =          484 / 44 =         2220 / 60 =       

   968 / 22 =         1122 / 34 =         4324 / 92 =         1022 / 73 =       

  2093 / 91 =         3999 / 93 =         3782 / 62 =         2464 / 56 =       

  2808 / 39 =         1260 / 15 =          750 / 10 =         2352 / 48 =       

  6080 / 80 =         1458 / 27 =         1056 / 66 =          960 / 48 =       

   858 / 26 =         8832 / 96 =         6080 / 76 =         1512 / 18 =       

  7392 / 96 =         1932 / 21 =         5346 / 66 =          826 / 14 =       

  1904 / 56 =         3400 / 50 =         2436 / 84 =          315 / 15 =       

  3538 / 58 =         5530 / 79 =         7298 / 89 =         5076 / 54 =       

  1305 / 45 =         3569 / 83 =         4757 / 71 =          588 / 49 =       

   676 / 13 =         1170 / 90 =          528 / 24 =         1512 / 24 =       

  2511 / 27 =         3596 / 58 =         2288 / 88 =         6111 / 97 =       

   529 / 23 =         6900 / 75 =         2700 / 75 =         2898 / 46 =       

  2176 / 34 =         6660 / 90 =         1804 / 82 =          588 / 42 =       

  4472 / 86 =         6256 / 92 =         5952 / 93 =         6000 / 75 =       

  4368 / 52 =         5440 / 68 =         1776 / 24 =         7440 / 93 =       

   800 / 20 =         5246 / 86 =          850 / 85 =         3186 / 59 =       

  1560 / 39 =         1826 / 22 =         6984 / 72 =          930 / 31 =       

  1485 / 45 =         2280 / 40 =         2542 / 82 =         7056 / 84 =       

  2926 / 77 =          504 / 12 =         4416 / 48 =         1161 / 27 =       

  5670 / 63 =          920 / 40 =         1040 / 16 =         2375 / 25 =       

   924 / 66 =         2816 / 44 =         3816 / 72 =         3528 / 42 =       

  1425 / 19 =         1275 / 15 =          625 / 25 =         2492 / 89 =       

  4015 / 55 =         5035 / 95 =         4958 / 67 =         3612 / 84 =       

  1660 / 83 =         2091 / 51 =         2160 / 45 =         5180 / 74 =       

  3060 / 60 =         3040 / 76 =          580 / 58 =         1677 / 39 =       

   832 / 16 =         2989 / 61 =         2604 / 42 =         3168 / 96 =       

  2881 / 67 =          792 / 24 =         4268 / 44 =         3240 / 81 =       

  5248 / 82 =         5727 / 83 =         1479 / 29 =         2070 / 23 =       

  5504 / 64 =         1656 / 72 =         1739 / 47 =         5760 / 60 =       

  2130 / 30 =         2668 / 92 =         5488 / 56 =         6768 / 94 =       

  3149 / 47 =          744 / 12 =         1000 / 20 =         1539 / 27 =       

  2964 / 78 =         2408 / 86 =         6068 / 74 =         5796 / 69 =       

   880 / 22 =         3120 / 52 =         1620 / 20 =         1643 / 31 =       

   616 / 44 =         2982 / 42 =         2465 / 29 =          864 / 72 =       

  5475 / 73 =         1504 / 47 =         1885 / 65 =         1000 / 50 =       

   972 / 54 =         3813 / 41 =         3135 / 95 =         3591 / 63 =       

  2304 / 24 =          924 / 33 =         5828 / 62 =         1978 / 43 =       

  3360 / 56 =         6873 / 79 =         1276 / 44 =         4080 / 80 =       

  5476 / 74 =         3567 / 87 =         1760 / 40 =         1620 / 27 =       

  1947 / 59 =         4485 / 65 =         2820 / 47 =         5120 / 80 =       

  4851 / 63 =          520 / 13 =          870 / 58 =         2100 / 28 =       

  8134 / 83 =          779 / 41 =         2380 / 34 =         3477 / 57 =       

  4891 / 67 =         1092 / 78 =         8428 / 98 =         6970 / 82 =       

  4446 / 57 =         2500 / 50 =         1196 / 23 =          741 / 39 =       

  2241 / 27 =          462 / 42 =         1988 / 28 =         1972 / 34 =       

  2025 / 27 =         2208 / 46 =         4032 / 72 =         3036 / 44 =       

  3094 / 34 =         4664 / 88 =         1239 / 59 =          868 / 14 =       

  1183 / 13 =         4800 / 60 =         7084 / 92 =         2310 / 35 =       

  3807 / 81 =          920 / 92 =         1972 / 58 =         1372 / 28 =       

  5544 / 88 =         2976 / 96 =          900 / 20 =         6232 / 82 =       

   638 / 22 =         3588 / 92 =         3010 / 43 =         4056 / 52 =       

   357 / 17 =         1804 / 22 =         6014 / 62 =         3367 / 37 =       

  7426 / 94 =         3042 / 78 =         4992 / 78 =         2535 / 39 =       

  1752 / 24 =         2496 / 26 =         2184 / 26 =         1176 / 21 =       

  1144 / 88 =         1728 / 96 =         1792 / 28 =          893 / 47 =       

  6612 / 76 =         1475 / 25 =         1386 / 66 =         3108 / 74 =       

  4828 / 71 =         4118 / 58 =          870 / 15 =         7790 / 95 =       

