39 X 92 =           13 X 80 =           76 X 85 =           85 X 70 =           
10 X 30 =           85 X 14 =           62 X 91 =           91 X 79 =           

59 X 93 =           42 X 16 =           14 X 82 =           43 X 94 =           

66 X 55 =           31 X 70 =           49 X 21 =           48 X 63 =           

87 X 91 =           16 X 86 =           56 X 69 =           29 X 22 =           

13 X 14 =           76 X 27 =           61 X 94 =           21 X 12 =           

55 X 74 =           93 X 59 =           80 X 63 =           80 X 86 =           

49 X 81 =           34 X 70 =           81 X 73 =           84 X 62 =           

79 X 34 =           13 X 47 =           34 X 85 =           25 X 24 =           

23 X 61 =           46 X 84 =           26 X 56 =           38 X 85 =           

25 X 82 =           54 X 27 =           52 X 63 =           79 X 60 =           

64 X 93 =           27 X 75 =           97 X 41 =           13 X 37 =           

69 X 25 =           47 X 97 =           18 X 12 =           14 X 90 =           

41 X 95 =           65 X 33 =           62 X 84 =           18 X 59 =           

56 X 39 =           41 X 49 =           20 X 19 =           66 X 45 =           

94 X 61 =           23 X 26 =           33 X 84 =           77 X 79 =           

90 X 54 =           43 X 70 =           37 X 72 =           55 X 79 =           

49 X 76 =           84 X 90 =           63 X 43 =           90 X 12 =           

24 X 57 =           86 X 30 =           52 X 64 =           58 X 44 =           

75 X 73 =           16 X 13 =           53 X 49 =           89 X 96 =           

12 X 53 =           31 X 87 =           57 X 94 =           96 X 16 =           

36 X 36 =           70 X 32 =           86 X 29 =           45 X 37 =           

98 X 81 =           40 X 63 =           60 X 56 =           65 X 41 =           

39 X 91 =           13 X 22 =           64 X 68 =           41 X 22 =           

57 X 22 =           28 X 60 =           43 X 30 =           81 X 48 =           

75 X 51 =           37 X 31 =           17 X 88 =           21 X 50 =           

85 X 36 =           34 X 84 =           14 X 40 =           52 X 17 =           

77 X 19 =           84 X 29 =           61 X 88 =           42 X 29 =           

55 X 20 =           39 X 43 =           47 X 97 =           55 X 33 =           

47 X 19 =           67 X 10 =           87 X 33 =           34 X 26 =           

19 X 68 =           65 X 86 =           91 X 90 =           49 X 86 =           

30 X 19 =           28 X 91 =           24 X 72 =           28 X 25 =           

92 X 92 =           38 X 13 =           21 X 15 =           47 X 20 =           

67 X 57 =           25 X 15 =           63 X 27 =           66 X 13 =           

41 X 28 =           72 X 65 =           19 X 83 =           16 X 53 =           

39 X 35 =           53 X 27 =           44 X 48 =           53 X 72 =           

63 X 35 =           66 X 83 =           94 X 76 =           16 X 46 =           

93 X 85 =           84 X 55 =           80 X 17 =           51 X 40 =           

48 X 58 =           87 X 75 =           67 X 74 =           68 X 18 =           

96 X 11 =           68 X 68 =           97 X 25 =           95 X 61 =           

87 X 94 =           12 X 65 =           98 X 76 =           80 X 54 =           

28 X 34 =           62 X 66 =           54 X 33 =           14 X 82 =           

52 X 15 =           56 X 21 =           24 X 21 =           57 X 78 =           

25 X 19 =           73 X 47 =           58 X 89 =           46 X 53 =           

79 X 57 =           62 X 55 =           48 X 18 =           61 X 53 =           

41 X 90 =           27 X 96 =           31 X 58 =           70 X 31 =           

55 X 19 =           88 X 93 =           77 X 71 =           21 X 74 =           

17 X 87 =           87 X 37 =           50 X 74 =           77 X 37 =           

84 X 57 =           37 X 48 =           16 X 44 =           21 X 71 =           

15 X 27 =           33 X 87 =           92 X 72 =           35 X 19 =           

84 X 87 =           27 X 97 =           36 X 31 =           93 X 32 =           

63 X 89 =           31 X 86 =           53 X 97 =           10 X 49 =           

46 X 66 =           57 X 53 =           80 X 18 =           20 X 97 =           

95 X 51 =           28 X 62 =           50 X 26 =           33 X 26 =           

88 X 73 =           71 X 39 =           35 X 70 =           67 X 75 =           

35 X 41 =           67 X 69 =           74 X 85 =           20 X 33 =           

34 X 19 =           31 X 46 =           32 X 22 =           41 X 14 =           

76 X 36 =           25 X 49 =           40 X 21 =           59 X 42 =           

35 X 58 =           11 X 70 =           56 X 85 =           71 X 54 =           

60 X 33 =           76 X 97 =           52 X 55 =           47 X 65 =           

40 X 62 =           49 X 25 =           35 X 58 =           94 X 78 =           

21 X 19 =           19 X 30 =           86 X 48 =           93 X 21 =           

35 X 59 =           66 X 48 =           11 X 47 =           67 X 97 =           

61 X 27 =           17 X 83 =           67 X 82 =           48 X 25 =           

17 X 10 =           19 X 77 =           64 X 59 =           35 X 34 =           

97 X 74 =           79 X 50 =           81 X 45 =           80 X 26 =           

78 X 51 =           91 X 74 =           36 X 33 =           68 X 89 =           

36 X 71 =           37 X 61 =           20 X 30 =           86 X 54 =           

38 X 96 =           37 X 49 =           91 X 29 =           40 X 57 =           

42 X 10 =           83 X 93 =           30 X 41 =           44 X 49 =           

12 X 59 =           13 X 52 =           65 X 36 =           84 X 80 =           

23 X 72 =           51 X 66 =           92 X 64 =           85 X 17 =           

38 X 92 =           87 X 32 =           57 X 14 =           62 X 95 =           

65 X 84 =           77 X 64 =           14 X 72 =           76 X 63 =           

16 X 54 =           14 X 69 =           40 X 79 =           97 X 62 =           

65 X 98 =           95 X 90 =           68 X 30 =           30 X 10 =           

69 X 97 =           15 X 85 =           54 X 56 =           55 X 79 =           

98 X 11 =           23 X 58 =           40 X 50 =           91 X 29 =           

48 X 44 =           64 X 67 =           61 X 81 =           13 X 29 =           

31 X 84 =           84 X 66 =           40 X 91 =           45 X 80 =           

45 X 84 =           96 X 67 =           85 X 29 =           83 X 25 =           

11 X 84 =           15 X 72 =           55 X 62 =           10 X 34 =           

13 X 79 =           39 X 19 =           34 X 87 =           54 X 83 =           

76 X 40 =           87 X 37 =           62 X 78 =           57 X 16 =           

43 X 87 =           35 X 74 =           83 X 51 =           45 X 18 =           

16 X 33 =           75 X 70 =           65 X 82 =           17 X 25 =           

33 X 90 =           17 X 11 =           40 X 61 =           68 X 97 =           

91 X 45 =           28 X 49 =           26 X 76 =           53 X 25 =           

41 X 37 =           94 X 13 =           63 X 62 =           61 X 98 =           

71 X 24 =           86 X 31 =           77 X 16 =           45 X 67 =           

63 X 87 =           80 X 63 =           56 X 89 =           57 X 58 =           

66 X 23 =           75 X 48 =           35 X 19 =           91 X 50 =           

19 X 68 =           51 X 38 =           66 X 13 =           87 X 21 =           

32 X 67 =           47 X 40 =           64 X 66 =           80 X 83 =           

46 X 28 =           16 X 25 =           80 X 83 =           92 X 92 =           

52 X 28 =           45 X 85 =           91 X 76 =           67 X 96 =           

65 X 57 =           69 X 47 =           66 X 31 =           75 X 94 =           

57 X 54 =           50 X 26 =           13 X 36 =           42 X 70 =           

96 X 70 =           64 X 69 =           57 X 30 =           23 X 86 =           

49 X 12 =           86 X 67 =           20 X 46 =           80 X 61 =           

61 X 96 =           35 X 35 =           94 X 19 =           93 X 45 =           

64 X 64 =           25 X 66 =           50 X 54 =           92 X 73 =           

14 X 62 =           14 X 41 =           80 X 44 =           58 X 19 =           

89 X 27 =           51 X 46 =           15 X 62 =           82 X 89 =           

59 X 63 =           26 X 51 =           72 X 43 =           82 X 54 =           

23 X 13 =           73 X 62 =           89 X 49 =           13 X 27 =           

75 X 26 =           79 X 80 =           23 X 30 =           24 X 82 =           

38 X 16 =           98 X 24 =           60 X 33 =           20 X 70 =           

78 X 66 =           80 X 47 =           96 X 11 =           23 X 88 =           

43 X 81 =           37 X 60 =           18 X 58 =           33 X 62 =           

29 X 65 =           86 X 47 =           91 X 82 =           33 X 84 =           

16 X 53 =           50 X 79 =           30 X 16 =           46 X 55 =           

76 X 15 =           29 X 81 =           66 X 89 =           29 X 30 =           

37 X 17 =           41 X 87 =           96 X 15 =           54 X 83 =           

61 X 33 =           60 X 86 =           43 X 55 =           37 X 81 =           

26 X 70 =           75 X 36 =           20 X 52 =           46 X 88 =           

51 X 37 =           46 X 39 =           18 X 38 =           43 X 95 =           

